State County FIPS,Postal Code,Name,Median Household Income,Year
"39 , 1",OH,Adams County,30487,2003
"39 , 3",OH,Allen County,39069,2003
"39 , 5",OH,Ashland County,39953,2003
"39 , 7",OH,Ashtabula County,36034,2003
"39 , 9",OH,Athens County,29230,2003
"39 , 11",OH,Auglaize County,44763,2003
"39 , 13",OH,Belmont County,31559,2003
"39 , 15",OH,Brown County,40096,2003
"39 , 17",OH,Butler County,47954,2003
"39 , 19",OH,Carroll County,36270,2003
"39 , 21",OH,Champaign County,44351,2003
"39 , 23",OH,Clark County,40027,2003
"39 , 25",OH,Clermont County,51940,2003
"39 , 27",OH,Clinton County,41650,2003
"39 , 29",OH,Columbiana County,34732,2003
"39 , 31",OH,Coshocton County,35268,2003
"39 , 33",OH,Crawford County,37307,2003
"39 , 35",OH,Cuyahoga County,39551,2003
"39 , 37",OH,Darke County,40934,2003
"39 , 39",OH,Defiance County,45434,2003
"39 , 41",OH,Delaware County,73375,2003
"39 , 43",OH,Erie County,43716,2003
"39 , 45",OH,Fairfield County,51300,2003
"39 , 47",OH,Fayette County,39126,2003
"39 , 49",OH,Franklin County,44967,2003
"39 , 51",OH,Fulton County,46402,2003
"39 , 53",OH,Gallia County,32233,2003
"39 , 55",OH,Geauga County,59235,2003
"39 , 57",OH,Greene County,50088,2003
"39 , 59",OH,Guernsey County,32165,2003
"39 , 61",OH,Hamilton County,44093,2003
"39 , 63",OH,Hancock County,44957,2003
"39 , 65",OH,Hardin County,35897,2003
"39 , 67",OH,Harrison County,31490,2003
"39 , 69",OH,Henry County,44296,2003
"39 , 71",OH,Highland County,36532,2003
"39 , 73",OH,Hocking County,35449,2003
"39 , 75",OH,Holmes County,38713,2003
"39 , 77",OH,Huron County,41234,2003
"39 , 79",OH,Jackson County,32024,2003
"39 , 81",OH,Jefferson County,32493,2003
"39 , 83",OH,Knox County,40829,2003
"39 , 85",OH,Lake County,48452,2003
"39 , 87",OH,Lawrence County,30158,2003
"39 , 89",OH,Licking County,46494,2003
"39 , 91",OH,Logan County,43487,2003
"39 , 93",OH,Lorain County,45051,2003
"39 , 95",OH,Lucas County,40172,2003
"39 , 97",OH,Madison County,44626,2003
"39 , 99",OH,Mahoning County,36413,2003
"39 , 101",OH,Marion County,39378,2003
"39 , 103",OH,Medina County,57539,2003
"39 , 105",OH,Meigs County,27849,2003
"39 , 107",OH,Mercer County,44830,2003
"39 , 109",OH,Miami County,44811,2003
"39 , 111",OH,Monroe County,33436,2003
"39 , 113",OH,Montgomery County,41283,2003
"39 , 115",OH,Morgan County,31671,2003
"39 , 117",OH,Morrow County,42842,2003
"39 , 119",OH,Muskingum County,36120,2003
"39 , 121",OH,Noble County,32836,2003
"39 , 123",OH,Ottawa County,45638,2003
"39 , 125",OH,Paulding County,40382,2003
"39 , 127",OH,Perry County,35162,2003
"39 , 129",OH,Pickaway County,42686,2003
"39 , 131",OH,Pike County,32951,2003
"39 , 133",OH,Portage County,44615,2003
"39 , 135",OH,Preble County,41895,2003
"39 , 137",OH,Putnam County,48174,2003
"39 , 139",OH,Richland County,38595,2003
"39 , 141",OH,Ross County,38067,2003
"39 , 143",OH,Sandusky County,41619,2003
"39 , 145",OH,Scioto County,29216,2003
"39 , 147",OH,Seneca County,38736,2003
"39 , 149",OH,Shelby County,45580,2003
"39 , 151",OH,Stark County,40347,2003
"39 , 153",OH,Summit County,42843,2003
