disasterNumber,county,declarationDate,incidentType,amountOblig
1319,Braxton,2000-02-28T00:00:00.000Z,Flood,10702.26
1319,Cabell,2000-02-28T00:00:00.000Z,Flood,11420.97
1319,Wirt,2000-02-28T00:00:00.000Z,Flood,5173.5
1319,Wirt,2000-02-28T00:00:00.000Z,Flood,1356.26
1319,Wetzel,2000-02-28T00:00:00.000Z,Flood,2931.0
1319,Statewide,2000-02-28T00:00:00.000Z,Flood,18679.13
1319,Wetzel,2000-02-28T00:00:00.000Z,Flood,2064.53
1319,Calhoun,2000-02-28T00:00:00.000Z,Flood,15496.53
1319,Gilmer,2000-02-28T00:00:00.000Z,Flood,1353.97
1319,Statewide,2000-02-28T00:00:00.000Z,Flood,1773.75
1319,Tyler,2000-02-28T00:00:00.000Z,Flood,4161.0
1319,Wirt,2000-02-28T00:00:00.000Z,Flood,2452.5
1319,Barbour,2000-02-28T00:00:00.000Z,Flood,13244.71
1319,Harrison,2000-02-28T00:00:00.000Z,Flood,3129.46
1319,Kanawha,2000-02-28T00:00:00.000Z,Flood,986.84
1319,Marion,2000-02-28T00:00:00.000Z,Flood,17608.69
1319,Monongalia,2000-02-28T00:00:00.000Z,Flood,1385.44
1319,Harrison,2000-02-28T00:00:00.000Z,Flood,15587.93
1319,Statewide,2000-02-28T00:00:00.000Z,Flood,46959.31
1319,Roane,2000-02-28T00:00:00.000Z,Flood,7901.05
1319,Roane,2000-02-28T00:00:00.000Z,Flood,36079.07
1319,Wetzel,2000-02-28T00:00:00.000Z,Flood,10276.0
1319,Wetzel,2000-02-28T00:00:00.000Z,Flood,1159.88
1319,Barbour,2000-02-28T00:00:00.000Z,Flood,27536.89
1319,Ritchie,2000-02-28T00:00:00.000Z,Flood,3603.75
1319,Randolph,2000-02-28T00:00:00.000Z,Flood,10261.63
1319,Cabell,2000-02-28T00:00:00.000Z,Flood,2151.97
1319,Wetzel,2000-02-28T00:00:00.000Z,Flood,10105.68
1319,Kanawha,2000-02-28T00:00:00.000Z,Flood,5915.25
1319,Marion,2000-02-28T00:00:00.000Z,Flood,4266.53
1319,Taylor,2000-02-28T00:00:00.000Z,Flood,965.06
1319,Marion,2000-02-28T00:00:00.000Z,Flood,2593.94
1319,Monongalia,2000-02-28T00:00:00.000Z,Flood,883.73
1319,Barbour,2000-02-28T00:00:00.000Z,Flood,1465.31
1319,Harrison,2000-02-28T00:00:00.000Z,Flood,825.0
1319,Statewide,2000-02-28T00:00:00.000Z,Flood,57102.32
1319,Roane,2000-02-28T00:00:00.000Z,Flood,1346.07
1319,Statewide,2000-02-28T00:00:00.000Z,Flood,231578.24
1319,Cabell,2000-02-28T00:00:00.000Z,Flood,1505.36
1319,Roane,2000-02-28T00:00:00.000Z,Flood,19143.45
1319,Monongalia,2000-02-28T00:00:00.000Z,Flood,2316.45
1319,Marion,2000-02-28T00:00:00.000Z,Flood,1590.75
1319,Ritchie,2000-02-28T00:00:00.000Z,Flood,2877.0
1319,Marion,2000-02-28T00:00:00.000Z,Flood,19160.58
1319,Monongalia,2000-02-28T00:00:00.000Z,Flood,916.58
1319,Braxton,2000-02-28T00:00:00.000Z,Flood,2721.63
1319,Cabell,2000-02-28T00:00:00.000Z,Flood,2943.83
1319,Mason,2000-02-28T00:00:00.000Z,Flood,46266.01
1319,Marion,2000-02-28T00:00:00.000Z,Flood,26110.3
1319,Wetzel,2000-02-28T00:00:00.000Z,Flood,1216.71
1319,Taylor,2000-02-28T00:00:00.000Z,Flood,2529.68
1319,Roane,2000-02-28T00:00:00.000Z,Flood,814.4
1319,Lincoln,2000-02-28T00:00:00.000Z,Flood,15774.0
1319,Marion,2000-02-28T00:00:00.000Z,Flood,6731.02
1319,Monongalia,2000-02-28T00:00:00.000Z,Flood,2966.95
1319,Kanawha,2000-02-28T00:00:00.000Z,Flood,1312.18
1319,Barbour,2000-02-28T00:00:00.000Z,Flood,4241.54
1319,Wetzel,2000-02-28T00:00:00.000Z,Flood,8089.27
1319,Cabell,2000-02-28T00:00:00.000Z,Flood,6646.72
1319,Marion,2000-02-28T00:00:00.000Z,Flood,3056.84
1319,Preston,2000-02-28T00:00:00.000Z,Flood,41137.5
1319,Monongalia,2000-02-28T00:00:00.000Z,Flood,766.5
1319,Gilmer,2000-02-28T00:00:00.000Z,Flood,3625.62
1319,Monongalia,2000-02-28T00:00:00.000Z,Flood,8921.73
1319,Calhoun,2000-02-28T00:00:00.000Z,Flood,1999.73
1319,Barbour,2000-02-28T00:00:00.000Z,Flood,885.6
1319,Marion,2000-02-28T00:00:00.000Z,Flood,2884.47
1319,Preston,2000-02-28T00:00:00.000Z,Flood,32103.0
1319,Braxton,2000-02-28T00:00:00.000Z,Flood,3799.52
1319,Roane,2000-02-28T00:00:00.000Z,Flood,4098.6
1319,Kanawha,2000-02-28T00:00:00.000Z,Flood,11972.79
1319,Kanawha,2000-02-28T00:00:00.000Z,Flood,3643.88
1319,Statewide,2000-02-28T00:00:00.000Z,Flood,145971.26
1319,Harrison,2000-02-28T00:00:00.000Z,Flood,12654.33
1319,Marion,2000-02-28T00:00:00.000Z,Flood,1564.65
1319,Monongalia,2000-02-28T00:00:00.000Z,Flood,44130.93
1319,Braxton,2000-02-28T00:00:00.000Z,Flood,22234.4
1319,Gilmer,2000-02-28T00:00:00.000Z,Flood,5496.17
1319,Marion,2000-02-28T00:00:00.000Z,Flood,6792.74
1319,Statewide,2000-02-28T00:00:00.000Z,Flood,3714368.36
1319,Taylor,2000-02-28T00:00:00.000Z,Flood,6477.83
1319,Randolph,2000-02-28T00:00:00.000Z,Flood,24052.5
1319,Ritchie,2000-02-28T00:00:00.000Z,Flood,35202.56
1319,Marion,2000-02-28T00:00:00.000Z,Flood,990.75
1319,Lewis,2000-02-28T00:00:00.000Z,Flood,58923.59
1378,Logan,2001-06-03T00:00:00.000Z,Severe Storm(s),6750.0
1378,Mercer,2001-06-03T00:00:00.000Z,Severe Storm(s),4592.64
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),4462.5
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),32690.72
1378,Boone,2001-06-03T00:00:00.000Z,Severe Storm(s),7803.95
1378,Boone,2001-06-03T00:00:00.000Z,Severe Storm(s),4988.06
1378,Boone,2001-06-03T00:00:00.000Z,Severe Storm(s),159502.18
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),67531.44
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),35846.92
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),2630.78
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),6521.77
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),92234.76
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),822105.24
1378,Nicholas,2001-06-03T00:00:00.000Z,Severe Storm(s),5415.57
1378,Nicholas,2001-06-03T00:00:00.000Z,Severe Storm(s),18108.98
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),191218.17
1378,Lincoln,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Boone,2001-06-03T00:00:00.000Z,Severe Storm(s),6946.08
1378,Boone,2001-06-03T00:00:00.000Z,Severe Storm(s),11117.09
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),14377.95
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),1892.25
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),110761.81
1378,Logan,2001-06-03T00:00:00.000Z,Severe Storm(s),13464.34
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),146364.62
1378,Nicholas,2001-06-03T00:00:00.000Z,Severe Storm(s),940.99
1378,Boone,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Mercer,2001-06-03T00:00:00.000Z,Severe Storm(s),52124.39
1378,Boone,2001-06-03T00:00:00.000Z,Severe Storm(s),877.01
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),82005.11
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),5372.93
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),133753.56
1378,Logan,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),124569.75
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),18569.86
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),21951.68
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),319605.79
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Mercer,2001-06-03T00:00:00.000Z,Severe Storm(s),11536.92
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),49944.6
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),75049.57
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),1404.74
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),904.2
1378,Logan,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),11961.69
1378,Doddridge,2001-06-03T00:00:00.000Z,Severe Storm(s),7284.92
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),8928.45
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),865.28
1378,Nicholas,2001-06-03T00:00:00.000Z,Severe Storm(s),168511.26
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),23811.87
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),1615.88
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),162777.34
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),112291.59
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),27455.18
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),33338.0
1378,Mercer,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Greenbrier,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),19147.34
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),1818.56
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),115975.67
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),47317.17
1378,Taylor,2001-06-03T00:00:00.000Z,Severe Storm(s),34820.66
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),132703.03
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),4499.25
1378,Clay,2001-06-03T00:00:00.000Z,Severe Storm(s),960.54
1378,Mercer,2001-06-03T00:00:00.000Z,Severe Storm(s),2463.92
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),6254.04
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),20562.19
1378,Greenbrier,2001-06-03T00:00:00.000Z,Severe Storm(s),2512.5
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),10461.52
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),136592.79
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),3566.36
1378,Boone,2001-06-03T00:00:00.000Z,Severe Storm(s),563168.69
1378,Boone,2001-06-03T00:00:00.000Z,Severe Storm(s),21507.55
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),134098.98
1378,Taylor,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),6642.16
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),13076.72
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),1419029.51
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),14689099.43
1378,Greenbrier,2001-06-03T00:00:00.000Z,Severe Storm(s),750.0
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),20167.5
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),40409.85
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),72227.58
1378,Lincoln,2001-06-03T00:00:00.000Z,Severe Storm(s),3712.5
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),3036.9
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),131706.04
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),2638.62
1378,Greenbrier,2001-06-03T00:00:00.000Z,Severe Storm(s),9663.7
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),11203.97
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),4428.38
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),20438.81
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),104645.49
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),12796.77
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Greenbrier,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),312723.86
1378,Boone,2001-06-03T00:00:00.000Z,Severe Storm(s),61204.99
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),8508.75
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),39634.37
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),4555.88
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),54165.06
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),866.25
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),14088.15
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),12821.41
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),32192.82
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),7792.49
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),4030.64
1378,Mercer,2001-06-03T00:00:00.000Z,Severe Storm(s),37020.4
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),104888.59
1378,Logan,2001-06-03T00:00:00.000Z,Severe Storm(s),3930.64
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),8947.75
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Nicholas,2001-06-03T00:00:00.000Z,Severe Storm(s),2181.36
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),493896.25
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),3623.59
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),36958.15
1378,Wayne,2001-06-03T00:00:00.000Z,Severe Storm(s),3486.78
1378,Statewide,2001-06-03T00:00:00.000Z,Severe Storm(s),2965812.97
1378,Nicholas,2001-06-03T00:00:00.000Z,Severe Storm(s),15330.3
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),16962.75
1378,Boone,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,McDowell,2001-06-03T00:00:00.000Z,Severe Storm(s),5447.25
1378,Nicholas,2001-06-03T00:00:00.000Z,Severe Storm(s),5275.5
1378,Mercer,2001-06-03T00:00:00.000Z,Severe Storm(s),0.0
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),981777.13
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),60983.54
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),9887.25
1378,Logan,2001-06-03T00:00:00.000Z,Severe Storm(s),24940.11
1378,Fayette,2001-06-03T00:00:00.000Z,Severe Storm(s),1832.03
1378,Mercer,2001-06-03T00:00:00.000Z,Severe Storm(s),3679.5
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),43838.19
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),31083.22
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),4387.5
1378,Wyoming,2001-06-03T00:00:00.000Z,Severe Storm(s),594555.44
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),755.25
1378,Raleigh,2001-06-03T00:00:00.000Z,Severe Storm(s),6795.18
1410,Statewide,2002-05-05T00:00:00.000Z,Severe Storm(s),249369.38
1410,Statewide,2002-05-05T00:00:00.000Z,Severe Storm(s),5302.19
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),6452.0
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),12778.54
1410,Statewide,2002-05-05T00:00:00.000Z,Severe Storm(s),8812.02
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),5953.31
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),275407.16
1410,Mercer,2002-05-05T00:00:00.000Z,Severe Storm(s),2423.63
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),35702.83
1410,Statewide,2002-05-05T00:00:00.000Z,Severe Storm(s),1298964.14
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),15213.45
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),9532.4
1410,Mingo,2002-05-05T00:00:00.000Z,Severe Storm(s),80070.59
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),11924.25
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),3892.43
1410,Summers,2002-05-05T00:00:00.000Z,Severe Storm(s),11453.57
1410,Mercer,2002-05-05T00:00:00.000Z,Severe Storm(s),5362.5
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),9650.25
1410,Statewide,2002-05-05T00:00:00.000Z,Severe Storm(s),90480.92
1410,Statewide,2002-05-05T00:00:00.000Z,Severe Storm(s),13383.24
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),18178.02
1410,Mingo,2002-05-05T00:00:00.000Z,Severe Storm(s),53506.35
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),1063.11
1410,Statewide,2002-05-05T00:00:00.000Z,Severe Storm(s),238257.31
1410,Statewide,2002-05-05T00:00:00.000Z,Severe Storm(s),0.0
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),10590.0
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),525472.25
1410,Statewide,2002-05-05T00:00:00.000Z,Severe Storm(s),64539.3
1410,Statewide,2002-05-05T00:00:00.000Z,Severe Storm(s),251201.89
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),698239.09
1410,McDowell,2002-05-05T00:00:00.000Z,Severe Storm(s),4851.75
